order1_pickup_latitude,order1_pickup_longitude,order2_pickup_latitude,order2_pickup_longitude,order3_pickup_latitude,order3_pickup_longitude,trip_start_timestamp,order1_fare,order1_tips,order2_fare,order2_tips,order3_fare,order3_tips,best
18.0,610.0,526.0,511.0,419.0,615.0,2016-02-01 08:00:00,10.75,0.0,9.25,2.08,4.75,0.0,2
18.0,610.0,744.0,605.0,158.0,270.0,2016-02-01 08:00:00,8.0,0.0,4.75,1.25,3.25,0.0,1
167.0,754.0,411.0,545.0,474.0,204.0,2016-02-01 08:00:00,7.5,2.0,4.75,0.0,6.25,0.0,1
744.0,605.0,199.0,510.0,170.0,351.0,2016-02-01 08:00:00,4.75,0.0,8.0,2.0,7.25,2.0,2
681.0,196.0,395.0,408.0,686.0,500.0,2016-02-01 08:00:00,7.0,0.0,6.75,1.0,18.5,0.0,3
686.0,500.0,754.0,410.0,419.0,615.0,2016-02-01 08:00:00,3.25,0.0,7.5,0.0,7.5,1.0,3
225.0,6.0,210.0,470.0,294.0,113.0,2016-02-01 08:00:00,46.0,12.5,5.25,0.0,46.0,9.2,1
433.0,757.0,395.0,408.0,411.0,545.0,2016-02-01 08:00:00,33.0,7.4,7.5,2.0,44.25,8.85,3
166.0,725.0,199.0,510.0,37.0,370.0,2016-02-01 08:00:00,18.75,0.0,10.75,0.0,9.0,0.0,1
225.0,6.0,395.0,408.0,599.0,346.0,2016-02-01 08:00:00,49.0,7.95,7.25,2.0,23.0,0.0,1
399.0,780.0,681.0,196.0,395.0,408.0,2016-02-01 08:00:00,7.25,0.0,9.5,0.0,5.5,2.0,2
161.0,649.0,527.0,24.0,700.0,659.0,2016-02-01 08:00:00,8.25,0.0,10.75,2.65,5.5,0.0,2
45.0,163.0,411.0,545.0,684.0,503.0,2016-02-01 08:00:00,6.75,2.0,5.75,2.0,34.25,8.55,3
385.0,478.0,18.0,610.0,642.0,32.0,2016-02-01 08:00:00,7.25,3.0,5.0,0.0,11.75,0.0,3
599.0,346.0,419.0,615.0,207.0,239.0,2016-02-01 08:00:00,9.75,0.0,5.75,0.0,4.0,0.0,1
18.0,610.0,167.0,754.0,778.0,172.0,2016-02-01 08:00:00,4.5,0.0,3.5,0.0,18.75,0.0,3
225.0,6.0,225.0,6.0,716.0,107.0,2016-02-01 08:00:00,44.0,12.0,48.0,15.6,14.75,0.0,2
18.0,610.0,173.0,203.0,744.0,605.0,2016-02-01 08:00:00,5.25,0.0,7.0,0.0,5.5,0.0,2
411.0,545.0,18.0,610.0,225.0,6.0,2016-02-01 08:00:00,6.0,0.0,5.75,0.0,47.5,12.88,3
599.0,346.0,454.0,453.0,695.0,366.0,2016-02-01 08:00:00,11.25,0.0,8.5,0.0,6.0,0.0,1
599.0,346.0,695.0,366.0,411.0,545.0,2016-02-01 08:00:00,7.25,0.0,6.75,0.0,8.0,0.0,3
18.0,610.0,526.0,511.0,95.0,781.0,2016-02-01 08:00:00,4.25,0.0,7.25,2.0,11.75,0.0,3
411.0,545.0,660.0,120.0,744.0,605.0,2016-02-01 08:00:00,5.75,0.0,7.25,0.0,88.0,25.2,3
686.0,500.0,411.0,545.0,210.0,470.0,2016-02-01 08:00:00,8.75,0.0,6.75,0.0,5.75,2.0,1
695.0,366.0,618.0,407.0,686.0,500.0,2016-02-01 08:00:00,6.25,0.0,9.0,0.0,16.5,4.12,3
210.0,470.0,599.0,346.0,158.0,270.0,2016-02-01 08:00:00,6.75,1.25,10.0,2.0,9.5,0.0,2
18.0,610.0,686.0,500.0,18.0,610.0,2016-02-01 08:00:00,8.0,0.0,10.75,0.0,5.5,0.0,2
411.0,545.0,411.0,545.0,18.0,610.0,2016-02-01 08:00:00,4.25,0.0,8.25,0.0,4.25,0.0,2
599.0,346.0,411.0,545.0,695.0,366.0,2016-02-01 08:00:00,21.25,4.25,6.25,2.0,6.0,0.0,1
399.0,780.0,441.0,771.0,173.0,203.0,2016-02-01 08:00:00,3.25,0.0,14.0,0.0,37.0,7.4,3
686.0,500.0,210.0,470.0,599.0,346.0,2016-02-01 08:00:00,16.25,0.0,3.25,0.0,7.25,2.0,1
411.0,545.0,754.0,410.0,109.0,708.0,2016-02-01 08:00:00,4.5,2.0,6.75,0.0,7.25,0.0,3
744.0,605.0,433.0,757.0,744.0,605.0,2016-02-01 08:00:00,7.5,0.0,34.5,5.0,6.75,2.0,2
109.0,708.0,526.0,511.0,411.0,545.0,2016-02-01 08:00:00,17.75,0.0,6.5,0.0,7.0,2.0,1
419.0,615.0,438.0,199.0,660.0,120.0,2016-02-01 08:00:00,4.5,0.0,6.25,0.0,22.25,0.0,3
